cheater1_rank,cheater1_username,cheater1_submission_id,cheater2_rank,cheater2_username,cheater2_submission_id,similarity_percentage
145,https://leetcode.com/u/FFiona,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327917663,2575,https://leetcode.com/u/ShubhAg21,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327933333,53
150,https://leetcode.com/u/HIRE_ME_GOOGLE,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327906772,1757,https://leetcode.com/u/hurryhao,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327934133,65
152,https://leetcode.com/u/math_pi,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327917405,1738,https://leetcode.com/u/Arcturus_22,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327943269,71
153,https://leetcode.com/u/timetoai,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327908342,2650,https://leetcode.com/u/tengerye,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327927307,64
155,https://leetcode.com/u/Barkaaat,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327908955,1728,https://leetcode.com/u/ammann_here,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327928443,61
157,https://leetcode.com/u/skyinde2,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327906705,4725,https://leetcode.com/u/k-zakisan,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327928408,79
162,https://leetcode.com/u/PlayDate,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327912532,4757,https://leetcode.com/u/user5742L,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327907577,60
167,https://leetcode.com/u/czjnbb,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327908107,2805,https://leetcode.com/u/saile_re,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327990332,68
176,https://leetcode.com/u/karunakar_516,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327917375,1859,https://leetcode.com/u/urimaj,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327925718,56
180,https://leetcode.com/u/mzhaodev,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327911316,1978,https://leetcode.com/u/Anshul_027,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327922893,50
181,https://leetcode.com/u/cybsbbbb,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327912097,4324,https://leetcode.com/u/mailtokartik,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327940798,75
183,https://leetcode.com/u/Yashkale26,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327918059,2017,https://leetcode.com/u/anonymous2511,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327950612,67
